,State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,Producation_area_factor,zone
4454,Andhra Pradesh,KRISHNA,2008,Whole Year,Coconut,2129.0,19439434.0,9130.781587599811,South India
4486,Andhra Pradesh,KRISHNA,2009,Whole Year,Coconut,2090.0,23599014.0,11291.394258373206,South India
4553,Andhra Pradesh,KRISHNA,2011,Whole Year,Coconut,1965.0,27512912.0,14001.481933842239,South India
4601,Andhra Pradesh,KRISHNA,2012,Whole Year,Coconut,2008.0,34309000.0,17086.155378486055,South India
4646,Andhra Pradesh,KRISHNA,2013,Whole Year,Coconut,2053.0,34029000.0,16575.25572333171,South India
4690,Andhra Pradesh,KRISHNA,2014,Whole Year,Coconut,1829.0,39653000.0,21680.153089119736,South India
4827,Andhra Pradesh,KURNOOL,2000,Whole Year,Coconut,99.0,425810.0,4301.111111111111,South India
4875,Andhra Pradesh,KURNOOL,2001,Whole Year,Coconut,110.0,374400.0,3403.6363636363635,South India
4925,Andhra Pradesh,KURNOOL,2002,Whole Year,Coconut,100.0,425733.0,4257.33,South India
4986,Andhra Pradesh,KURNOOL,2003,Whole Year,Coconut,86.0,342720.0,3985.1162790697676,South India
5039,Andhra Pradesh,KURNOOL,2004,Whole Year,Coconut,64.0,486530.0,7602.03125,South India
5084,Andhra Pradesh,KURNOOL,2005,Whole Year,Coconut,60.0,227136.0,3785.6,South India
5128,Andhra Pradesh,KURNOOL,2006,Whole Year,Coconut,52.0,421974.0,8114.884615384615,South India
5196,Andhra Pradesh,KURNOOL,2008,Whole Year,Coconut,71.0,646668.0,9108.0,South India
5237,Andhra Pradesh,KURNOOL,2009,Whole Year,Coconut,49.0,289755.0,5913.367346938776,South India
5324,Andhra Pradesh,KURNOOL,2011,Whole Year,Coconut,15.0,119280.0,7952.0,South India
5390,Andhra Pradesh,KURNOOL,2012,Whole Year,Coconut,16.0,138000.0,8625.0,South India
5453,Andhra Pradesh,KURNOOL,2013,Whole Year,Coconut,8.0,58000.0,7250.0,South India
5518,Andhra Pradesh,KURNOOL,2014,Whole Year,Coconut,8.0,67000.0,8375.0,South India
5657,Andhra Pradesh,PRAKASAM,2000,Whole Year,Coconut,209.0,2240700.0,10721.052631578947,South India
5704,Andhra Pradesh,PRAKASAM,2001,Whole Year,Coconut,202.0,2195568.0,10869.148514851486,South India
5755,Andhra Pradesh,PRAKASAM,2002,Whole Year,Coconut,202.0,2267460.0,11225.049504950495,South India
5816,Andhra Pradesh,PRAKASAM,2003,Whole Year,Coconut,200.0,2369640.0,11848.2,South India
5867,Andhra Pradesh,PRAKASAM,2004,Whole Year,Coconut,202.0,2373274.0,11748.881188118812,South India
5907,Andhra Pradesh,PRAKASAM,2005,Whole Year,Coconut,123.0,1077384.0,8759.219512195123,South India
5951,Andhra Pradesh,PRAKASAM,2006,Whole Year,Coconut,100.0,1287287.0,12872.87,South India
6017,Andhra Pradesh,PRAKASAM,2008,Whole Year,Coconut,63.0,577778.0,9171.079365079366,South India
6057,Andhra Pradesh,PRAKASAM,2009,Whole Year,Coconut,61.0,684360.0,11219.016393442624,South India
6137,Andhra Pradesh,PRAKASAM,2011,Whole Year,Coconut,47.0,655424.0,13945.191489361701,South India
